Water Temperature @1.6m depth ,Wind Speed (Km/h),Air Temperature (Deg C),Air Pressure (Hecta pascal),Humidity (percent)
28.2747,17.0894,27.3063,1005.625,76.0778
28.5633,17.9827,27.5458,1005.4674,77.8875
29.0314,17.1448,27.691,1009.034,76.2208
27.3385,39.3643,27.2292,1012.9069,74.6479
27.0068,41.3388,26.5424,1012.5056,70.5847
26.7504,33.5272,26.4792,1010.2653,65.9764
26.7746,29.7139,26.4389,1008.4438,67.0903
27.2158,19.5977,26.3681,1006.4563,75.009
27.5069,23.3386,27.0083,1005.0653,75.8424
27.4878,31.2042,27.3979,1004.425,76.3847
27.0679,33.5542,27.3583,1006.5576,68.616
26.6643,34.4221,26.3181,1011.8604,62.3493
26.554,41.3318,25.7965,1015.6924,67.7139
26.1943,41.5788,25.3861,1017.4674,65.2215
26.1755,37.3166,25.2722,1016.384,65.0188
26.1473,35.5706,25.2778,1015.7965,66.6771
25.9908,39.017,25.6063,1016.65,63.5549
25.7343,36.8077,25.1632,1016.834,69.6174
25.6346,33.9958,25.3444,1016.0674,70.0167
25.5215,33.3835,25.1326,1015.2819,72.1951
25.8983,39.0565,25.8347,1014.5236,72.4104
26.1605,35.2378,26.0056,1012.7007,80.8569
26.334,21.036,26.3063,1011.1521,83.675
26.7324,23.6673,26.5201,1012.5965,80.8438
26.6317,30.3993,26.2451,1015.8028,79.6715
26.5074,25.3703,26.4507,1016.5431,76.9132
26.6456,18.7197,26.2479,1014.6493,76.1972
26.9462,15.0978,26.6438,1011.8215,75.166
27.0956,21.8679,26.8924,1010.2583,78.2424
27.2857,17.3677,27.0347,1010.8674,79.9833
27.8706,12.8574,27.3111,1011.9069,78.6653
28.0631,18.5014,27.3285,1011.1458,77.309
27.9203,17.0323,26.7118,1012.0618,74.9069
27.6462,13.9774,27.1806,1012.5493,71.809
27.6008,9.4578,26.9993,1012.0785,71.3347
27.6384,7.2862,27.0417,1011.3028,72.875
27.5072,11.2064,27.1583,1011.3403,77.25
27.3667,9.6748,27.2951,1012.2993,76.5507
27.2096,18.2877,27.2632,1013.7868,73.1632
27.0116,16.201,27.159,1014.1097,73.3826
27.1198,13.2468,27.0743,1013.9611,72.0715
27.136,13.7921,27.0875,1013.9194,71.3007
27.3421,11.2455,27.3069,1013.7201,70.8722
27.5959,20.3601,27.3063,1013.1458,71.2278
26.6103,28.4221,25.4972,1011.484,79.7868
27.0761,21.6092,26.5917,1010.409,75.9528
27.0953,21.5982,26.5632,1009.2458,78.3625
26.7278,27.8227,25.4382,1012.8299,63.1326
25.6938,34.8688,25.3438,1015.8625,58.9826
25.8065,36.1109,25.825,1016.4569,63.5667
26.1179,37.6373,25.6257,1017.7944,71.5632
25.7678,40.8995,25.2868,1019.6382,69.8132
25.6653,35.6958,25.5653,1019.75,64.7965
25.6108,30.31,25.45,1019.2514,64.6375
25.4809,24.6047,25.3535,1018.6694,57.6458
25.2442,22.7978,25.1882,1017.8931,66.4076
25.4403,15.3618,25.2313,1017.0181,59.4458
26.0444,12.1837,25.384,1015.6208,65.3264
25.2587,40.8205,25.2438,1016.6938,66.5806
25.0835,41.1358,24.7146,1016.9514,65.0514
25.1498,40.3808,24.525,1017.3625,65.8896
24.9939,35.7785,24.3583,1016.6292,66.059
24.9274,28.8293,24.0306,1016.2896,68.4813
25.0094,28.8771,24.1028,1016.9757,70.1847
24.6255,30.9987,23.9389,1017.4611,69.9729
24.6834,34.2736,24.8361,1018.1951,69.159
25.0273,33.014,24.8444,1017.8083,72.8944
25.3453,31.2397,25.2271,1015.5854,77.7229
25.2098,36.7399,25.3556,1015.3757,75.6208
25.2455,32.7666,25.5465,1016.2576,70.5
25.2143,32.57,25.4667,1017.1972,75.3896
25.1231,37.622,25.2699,1016.5294,74.3664
25.032,33.7815,24.975,1015.0681,79.9535
24.7494,28.5128,23.6514,1014.1701,84.5292
25.3248,21.9942,24.816,1016.434,75.5111
24.923,27.666,25.0222,1018.6153,68.7799
24.5042,29.5537,24.4201,1019.0069,62.4563
23.7971,29.4823,24.2069,1017.6243,65.8569
24.3536,28.3187,24.3042,1018.2229,73.5222
24.3873,31.9796,24.6535,1020.2896,69.3667
24.4097,22.9897,24.0361,1018.9417,72.3431
24.4195,14.9399,22.6944,1015.4611,81.5535
23.8043,27.1941,22.0139,1014.1729,55.9326
23.2163,21.8277,21.5986,1015.1035,53.4465
23.3449,22.5938,23.2486,1015.6444,62.2438
23.6055,16.359,23.6792,1015.9299,60.6972
23.7671,21.1791,23.9604,1016.3063,65.5493
24.4228,13.3074,25.0208,1016.0431,79.7979
23.0736,35.3953,21.0139,1018.6778,50.9792
23.1393,39.8033,21.6118,1019.8667,65.4618
23.6502,39.8175,23.9965,1020.2396,65.4604
23.4163,34.3329,24.2368,1020.7326,65.8431
23.4779,32.132,23.6597,1020.9931,70.3708
23.4113,33.7878,23.1049,1020.3847,71.2715
23.5464,31.0518,23.2444,1020.884,69.8792
23.1926,35.3468,23.5104,1022.2667,65.0104
23.3555,35.8057,23.1736,1022.3708,66.4569
22.9367,30.8107,23.5104,1021.8632,62.675
22.7465,31.0396,23.3264,1021.8778,63.6382
22.8174,32.1085,23.1681,1022.6889,66.5063
22.9002,30.0007,22.8076,1021.4347,69.1361
22.9307,27.9359,23.0174,1019.7646,68.5965
23.095,20.3608,22.4889,1018.5167,70.2535
23.9704,7.5918,22.8438,1017.0104,69.8701
24.2539,13.0183,23.3938,1015.6847,65.6556
23.3074,19.4932,21.7993,1016.3549,52.4993
23.5769,9.959,22.2264,1016.1361,54.1583
23.4371,16.1549,22.5556,1017.0861,61.975
21.9449,34.8115,19.2632,1020.3653,48.9264
21.6167,28.992,20.5368,1020.5493,58.8264
22.1704,23.5576,21.4736,1019.4111,76.0563
22.6741,21.3883,21.0938,1016.3563,67.3243
21.6132,29.7957,18.0076,1016.4375,45.4014
21.2313,31.3044,18.5007,1019.091,56.7778
21.4852,40.1738,20.3167,1023.5431,68.9576
21.9308,38.367,21.8729,1025.9153,66.1618
21.7232,33.1407,21.3333,1024.2653,74.9715
21.7172,25.7626,21.9111,1020.5646,74.4958
22.5058,21.3103,22.4042,1020.0868,72.45
22.472,23.442,22.284,1020.6903,72.1632
22.3534,23.6755,22.0903,1020.5271,71.4882
22.5033,18.5624,22.1326,1018.8118,72.1021
22.8019,10.2392,22.3056,1017.6583,69.0208
22.9471,8.9592,22.5771,1017.3472,72.7535
23.0132,12.0899,22.8507,1017.1861,69.1326
22.85,16.7745,21.8903,1016.1389,66.2424
21.3745,18.0201,19.55,1016.9139,47.7576
21.273,13.5193,19.7278,1017.5847,49.2111
21.2838,20.461,20.3368,1018.0063,64.4097
21.0845,23.2799,19.6667,1017.7542,62.0556
20.7265,33.2194,18.5627,1018.0106,63.5056
21.2535,33.7646,20.309,1017.5271,69.4174
20.6283,31.9095,19.7438,1019.7535,64.8354
20.8454,29.1774,19.5111,1021.4424,67.1771
21.0992,29.1745,20.4444,1020.9063,77.7208
21.2712,42.219,21.9507,1022.4118,71.8097
21.1321,40.0655,21.7993,1023.3299,59.6375
21.4231,28.1788,20.7021,1020.6528,74.6694
21.4427,29.292,21.2215,1018.7,74.8625
21.577,28.9955,21.3319,1018.1597,72.7938
21.6815,32.0022,21.1618,1017.1826,74.6903
21.6897,37.0622,21.3424,1018.1083,73.4958
21.7217,43.4493,21.8938,1020.2313,69.5701
21.5163,47.368,21.2125,1020.0438,76.0896
21.4136,43.6623,21.7326,1022.1743,70.8201
21.345,34.5355,21.9111,1023.6604,67.6125
21.3267,26.6123,21.3069,1021.8938,69.0757
21.6546,13.9392,21.0604,1019.391,67.3771
21.8536,12.6116,21.5486,1018.916,59.0028
21.8803,15.081,21.6347,1019.5486,62.5069
21.8879,11.7779,21.5424,1019.9743,59.4229
21.7808,15.1594,21.4222,1018.3438,57.8625
20.5309,35.2392,18.0243,1019.8444,47.6625
19.9529,24.8954,17.3479,1018.9014,44.0792
19.6619,21.1125,18.0264,1018.7458,58.9438
20.7291,12.3088,18.8181,1017.9326,51.4653
20.3964,17.9452,18.7958,1017.0972,48.7931
20.3944,24.5221,19.2951,1018.3854,53.6563
20.4116,29.2794,20.7792,1019.9722,55.509
20.4893,24.1639,21.0757,1018.3535,60.4896
20.9172,17.4954,21.0875,1017.3847,68.5542
21.4481,16.7445,21.0896,1019.6417,67.2729
21.9077,8.6995,21.4153,1021.025,66.6993
21.9989,13.1154,20.6882,1021.1813,62.2743
21.8691,14.9315,21.4139,1020.709,63.1347
21.9266,12.2308,21.341,1020.5361,63.6083
22.0229,8.9357,20.9361,1020.1986,69.1694
21.9742,13.2004,20.9965,1019.2521,68.3583
21.9874,9.6757,20.7799,1019.0715,68.3375
21.6354,27.0875,20.9931,1021.2806,65.2194
20.6266,34.791,20.0354,1022.3993,68.9861
20.7055,35.9145,20.0333,1023.4278,69.4806
20.7109,33.8421,20.2736,1024.2639,67.5743
20.5403,29.6844,20.3924,1024.0632,63.6243
20.1517,28.5123,20.0896,1021.8236,61.775
20.2699,24.2542,20.9729,1018.8875,60.3861
20.491,18.1905,19.6639,1014.9681,81.7583
21.1611,18.1081,20.6243,1012.6208,81.4799
21.5769,17.8677,21.55,1012.5181,63.5174
21.2929,22.6107,21.3514,1011.7208,48.3444
20.1957,26.4739,18.1882,1015.6458,38.8146
19.9421,20.6641,18.0181,1018.859,41.0854
20.4229,18.4408,19.0924,1022.3667,55.9951
20.3732,25.9595,19.5583,1023.9667,72.0229
20.478,25.4604,20.5861,1023.816,64.6326
20.8481,13.8768,20.2875,1021.6375,59.7576
21.57,8.7129,21.2181,1019.0611,55.7549
21.9272,8.0049,21.2368,1018.7472,60.625
21.7706,15.7048,21.2417,1017.5819,60.8736
20.3422,34.7063,18.9278,1021.3222,52.775
20.0683,19.2571,19.0882,1020.1069,46.2882
20.1107,21.8015,20.4639,1016.4535,46.2076
20.2749,36.941,20.5306,1020,60.4479
20.7892,21.3488,19.5278,1021.6847,67.4028
21.1722,11.9697,20.2951,1019.059,63.1889
21.55,12.9188,20.9028,1017.8139,68.7903
21.6039,16.0662,21.4403,1018.8069,62.0597
21.6719,17.4825,21.4722,1018.4021,62.2958
21.7514,21.5992,21.4257,1017.2743,68.5556
21.7374,28.568,21.0521,1016.4118,72.7632
21.6568,27.2659,20.6604,1016.8264,72.9681
21.6411,18.4045,20.5132,1018.4556,63.7222
21.8426,8.676,21.0285,1018.3757,62.3438
21.9161,15.9441,21.7694,1017.0556,57.6889
22.0425,15.644,21.7826,1016.3,66.9924
22.2617,15.2449,22.7611,1015.3507,67.5139
22.312,23.6328,22.659,1015.1257,69.3667
22.2939,20.7286,22.0069,1014.5618,77.0667
21.7742,24.7528,21.4,1014.8465,42.3451
20.639,30.1083,20.6792,1013.8944,37.7549
20.3741,33.8475,18.4604,1019.1882,44.5403
20.8424,33.541,19.9333,1024.4882,64.0208
20.8677,28.962,20.1333,1024.1382,67.7882
21.4558,10.935,20.8958,1021.0597,67.5014
21.9451,8.9219,21.4299,1020.8965,64.2771
22.1623,10.6052,21.6035,1022.1271,64.1389
22.2653,10.2081,21.3514,1021.2986,61.7868
22.1403,23.9549,21.5069,1018.2049,63.6014
22.036,22.2379,21.8847,1018.4056,69.4431
22.4552,15.3332,22.3245,1020.6811,68.7566
22.4703,22.6057,22.0126,1021.9091,66.1343
22.3533,25.5338,22.1507,1022.3931,70.5111
22.682,20.4285,22.116,1023.3319,70.3715
22.8446,11.6191,22.4222,1022.341,70.9306
22.9204,13.4141,22.3896,1021.6292,72.6236
22.7433,20.9047,22.4514,1023.0285,72.2278
22.3504,22.353,22.1188,1023.0396,66.0771
22.2608,17.254,22.0097,1020.8674,65.3451
22.4586,13.8717,22.35,1018.2993,67.5465
22.4126,17.5552,22.3986,1017.6875,79.0861
22.7375,16.2791,22.6403,1018.1188,82.7042
22.6188,22.2635,21.8979,1022.1181,82.6986
21.6352,33.5798,21.65,1024.041,70.9354
21.5128,16.9764,21.4924,1023.3292,61.8444
21.5276,0,21.3757,1021.8694,57.8014
22.2323,0,21.891,1019.8444,59.7813
22.774,0,22.1431,1018.9993,67.0083
22.8788,0,22.5153,1015.8313,78.6326
22.8486,0,22.9146,1013.2528,84.8576
23.1648,0,23.0208,1014.7646,79.1319
22.4061,0,22.3104,1015.8854,69.341
22.2661,17.8664,21.8021,1013.8299,65.0514
22.2693,18.5825,20.8674,1010.8646,73.041
23.1383,14.5516,21.7306,1015.4583,70.1479
23.2142,17.2494,21.8958,1016.984,64.4701
22.963,26.5924,22.4215,1013.6181,75.9618
23.1919,21.8349,22.7535,1015.4292,79.0563
23.4012,25.3729,22.8313,1015.8104,79.7701
23.5962,22.1399,23.0632,1015.1542,85.4333
23.9203,19.7859,23.1306,1015.5438,85.2701
24.3443,13.6727,23.3639,1015.8417,80.159
23.4262,35.9239,22.7313,1019.8292,72.1931
22.8611,33.2158,21.934,1021.0215,65.9479
22.587,29.2089,21.909,1020.7924,63.3229
23.1059,24.1414,22.3778,1019.2319,63.2118
23.2896,17.4905,22.5174,1017.3944,63.4063
23.4969,14.2621,22.359,1015.2701,60.4417
23.5154,18.7892,22.8958,1013.4653,70.8049
23.6438,13.7061,23.0618,1015.7667,71.7757
23.9621,26.5834,23.2896,1018.6069,74.7063
23.5333,28.7775,22.7153,1017.6951,67.2333
23.4351,24.5585,22.6451,1015.3889,68.9729
23.4966,24.2248,22.9042,1015.8375,71.4514
23.8047,25.227,23.1264,1016.8361,74.9035
24.2409,23.1007,23.4021,1017.1063,76.525
24.5695,13.6361,23.4785,1015.4083,74.1979
24.7534,15.17,23.8118,1011.5896,74.4958
23.759,26.777,22.4465,1013.266,56.9042
24.1714,18.9847,22.9208,1012.691,69.9743
24.0573,31.0037,23.5125,1009.7618,80.5986
24.3942,16.1657,24.2465,1009.1354,75.1979
23.4952,25.5758,22.9229,1013.3465,41.6076
23.8344,16.0151,23.3021,1014.9194,68.3993
24.0324,19.9086,23.7826,1015.8375,70.0361
23.9227,29.5639,23.9326,1012.2847,75.0944
23.9644,14.4674,23.85,1012.6722,83.991
24.4839,13.3847,24.084,1013.9778,79.3604
24.6516,24.199,24.2083,1014.191,78.9694
24.7408,24.691,24.3757,1012.9715,84.2569
25.3826,16.9456,24.6736,1013.9181,83.6222
26.0437,10.9483,24.6014,1013.6813,81.3979
26.418,12.8633,24.8674,1012.9819,77.6021
25.5413,23.8237,24.3028,1015.7049,65.5618
25.0843,22.5543,24.1618,1016.0354,63.3972
24.9629,18.3056,24.2951,1014.7938,68.5868
24.8848,20.6763,24.2125,1014.1111,68.034
24.624,15.1353,24.3069,1013.2806,64.3194
24.782,12.9105,24.5632,1012.2181,70.5069
24.9902,11.68,24.6299,1012.316,78.6354
25.1906,14.5952,24.6507,1014.6375,71.6826
25.2793,15.0248,24.4944,1015.3743,67.7403
25.4857,11.3823,24.6326,1012.6069,67.2278
25.4625,25.8696,24.9188,1007.5278,73.1306
25.6265,33.7704,25.6306,1003.2146,85.8347
26.4391,18.4088,25.7757,1006.8743,83.0424
26.5623,11.6025,25.8299,1010.2701,84.1097
26.4373,20.8218,26.0938,1010.7264,83.8764
26.172,27.434,26.1951,1010.4563,81.3569
26.1596,29.2058,26.0444,1011.4799,79.8319
26.6085,16.917,25.9056,1014.8569,72.5813
26.7834,22.9713,25.7951,1017.7681,71.1444
26.695,18.7781,25.759,1015.6479,72.384
26.4912,13.8696,25.6951,1012.6139,72.7285
26.3716,17.5025,25.8215,1010.8028,72.0333
26.2777,20.8695,26,1009.8417,77.566
26.3951,22.1306,26.0389,1009.3653,77.8174
26.3507,20.3174,26.1625,1009.4625,76.7486
26.4135,22.5997,26.3819,1008.7049,79.2146
26.4285,35.604,25.9222,1012.716,75.0431
25.6483,36.0755,25.1111,1015.4438,65.0319
25.604,29.7113,25.1486,1015.3688,63.4875
25.7432,24.4266,25.1535,1014.7569,65.5188
25.9331,23.4237,25.4597,1014.4319,67.9813
26.5928,16.6557,25.5819,1013.4299,68.2806
26.6939,21.822,25.8076,1014.0118,69.1993
26.8003,14.4506,25.4861,1011.2403,68.4965
26.7109,18.7807,25.4472,1009.9278,74.284
26.2474,28.5647,24.0986,1012.4444,79.0264
25.4069,37,25.2194,1014.1146,70.2306
25.7074,35.0075,24.6583,1015.6875,74.3722
25.359,31.5263,24.9243,1015.6882,69.3035
25.5388,27.5187,25.1861,1013.9382,69.9465
25.7941,20.2924,24.5813,1012.0951,81.1319
26.4222,19.5347,25.8549,1013.141,80.3569
