"Water.Temperature..1.6m.depth" "Wind.Speed..Km.h." "Air.Temperature..Deg.C." "Air.Pressure..Hecta.pascal." "Humidity..percent."
"102" 22.8174 32.1085 23.1681 1022.6889 66.5063
"103" 20.4116 29.2794 20.7792 1019.9722 55.509
"104" 27.2096 18.2877 27.2632 1013.7868 73.1632
"105" 20.8424 33.541 19.9333 1024.4882 64.0208
"106" 23.5333 28.7775 22.7153 1017.6951 67.2333
"107" 24.9629 18.3056 24.2951 1014.7938 68.5868
"108" 21.7217 43.4493 21.8938 1020.2313 69.5701
"109" 26.0437 10.9483 24.6014 1013.6813 81.3979
"110" 27.0313 19.2481 26.2771 1011.9806 69.2111
"111" 19.6619 21.1125 18.0264 1018.7458 58.9438
"112" 23.095 20.3608 22.4889 1018.5167 70.2535
"113" 22.2608 17.254 22.0097 1020.8674 65.3451
"114" 21.57 8.7129 21.2181 1019.0611 55.7549
"115" 22.85 16.7745 21.8903 1016.1389 66.2424
"116" 20.3944 24.5221 19.2951 1018.3854 53.6563
"117" 25.2587 40.8205 25.2438 1016.6938 66.5806
"118" 26.3896 33.1265 26.7826 1007.2389 72.9319
"119" 24.4839 13.3847 24.084 1013.9778 79.3604
"120" 22.9204 13.4141 22.3896 1021.6292 72.6236
"121" 26.1473 35.5706 25.2778 1015.7965 66.6771
"122" 26.172 27.434 26.1951 1010.4563 81.3569
"123" 25.9908 39.017 25.6063 1016.65 63.5549
"124" 21.4481 16.7445 21.0896 1019.6417 67.2729
"125" 22.472 23.442 22.284 1020.6903 72.1632
"126" 21.4136 43.6623 21.7326 1022.1743 70.8201
"127" 21.55 12.9188 20.9028 1017.8139 68.7903
"128" 25.8983 39.0565 25.8347 1014.5236 72.4104
"129" 25.604 29.7113 25.1486 1015.3688 63.4875
"130" 20.6266 34.791 20.0354 1022.3993 68.9861
"131" 25.7494 34.6498 26.3424 1010.5799 72.3271
"132" 22.4552 15.3332 22.3245 1020.6811 68.7566
"133" 22.0229 8.9357 20.9361 1020.1986 69.1694
"134" 27.6462 13.9774 27.1806 1012.5493 71.809
"135" 24.5042 29.5537 24.4201 1019.0069 62.4563
"136" 24.2539 13.0183 23.3938 1015.6847 65.6556
"137" 21.9266 12.2308 21.341 1020.5361 63.6083
"138" 21.2838 20.461 20.3368 1018.0063 64.4097
"139" 26.7259 27.4571 26.4167 1014.6368 69.9854
"140" 27.6008 9.4578 26.9993 1012.0785 71.3347
"141" 21.9449 34.8115 19.2632 1020.3653 48.9264
"142" 20.7892 21.3488 19.5278 1021.6847 67.4028
"143" 20.7055 35.9145 20.0333 1023.4278 69.4806
"144" 20.7109 33.8421 20.2736 1024.2639 67.5743
"145" 26.4862 26.3383 26.3528 1010.1729 72.8931
"146" 27.2857 17.3677 27.0347 1010.8674 79.9833
"147" 21.345 34.5355 21.9111 1023.6604 67.6125
"148" 24.923 27.666 25.0222 1018.6153 68.7799
"149" 23.3074 19.4932 21.7993 1016.3549 52.4993
"150" 26.6017 25.2318 26.2563 1010.45 74.9958
"151" 22.2653 10.2081 21.3514 1021.2986 61.7868
"152" 27.0956 21.8679 26.8924 1010.2583 78.2424
"153" 26.6456 18.7197 26.2479 1014.6493 76.1972
"154" 25.1498 40.3808 24.525 1017.3625 65.8896
"155" 21.7172 25.7626 21.9111 1020.5646 74.4958
"156" 20.9172 17.4954 21.0875 1017.3847 68.5542
"157" 20.8481 13.8768 20.2875 1021.6375 59.7576
"158" 23.1919 21.8349 22.7535 1015.4292 79.0563
"159" 21.1722 11.9697 20.2951 1019.059 63.1889
"160" 23.4012 25.3729 22.8313 1015.8104 79.7701
"161" 22.774 0 22.1431 1018.9993 67.0083
"162" 25.6265 33.7704 25.6306 1003.2146 85.8347
"163" 22.3533 25.5338 22.1507 1022.3931 70.5111
"164" 23.1393 39.8033 21.6118 1019.8667 65.4618
"165" 21.9272 8.0049 21.2368 1018.7472 60.625
"166" 22.4703 22.6057 22.0126 1021.9091 66.1343
"167" 26.4135 22.5997 26.3819 1008.7049 79.2146
"168" 21.7808 15.1594 21.4222 1018.3438 57.8625
"169" 25.4857 11.3823 24.6326 1012.6069 67.2278
"170" 24.3873 31.9796 24.6535 1020.2896 69.3667
"171" 25.6938 34.8688 25.3438 1015.8625 58.9826
"172" 21.7514 21.5992 21.4257 1017.2743 68.5556
"173" 25.4625 25.8696 24.9188 1007.5278 73.1306
"174" 24.624 15.1353 24.3069 1013.2806 64.3194
"175" 20.5309 35.2392 18.0243 1019.8444 47.6625
"176" 24.9939 35.7785 24.3583 1016.6292 66.059
"177" 23.4969 14.2621 22.359 1015.2701 60.4417
"178" 22.2323 0 21.891 1019.8444 59.7813
"179" 26.1179 37.6373 25.6257 1017.7944 71.5632
"180" 27.2158 19.5977 26.3681 1006.4563 75.009
"181" 24.3443 13.6727 23.3639 1015.8417 80.159
"182" 26.4418 26.1222 25.9472 1010.3979 66.2208
"183" 22.2693 18.5825 20.8674 1010.8646 73.041
"184" 20.2699 24.2542 20.9729 1018.8875 60.3861
"185" 21.9742 13.2004 20.9965 1019.2521 68.3583
"186" 21.5128 16.9764 21.4924 1023.3292 61.8444
"187" 21.9989 13.1154 20.6882 1021.1813 62.2743
"188" 25.7678 40.8995 25.2868 1019.6382 69.8132
"189" 28.5633 17.9827 27.5458 1005.4674 77.8875
"190" 27.0675 28.9235 26.8979 1012.3444 71.7694
"191" 21.8691 14.9315 21.4139 1020.709 63.1347
"192" 27.175 29.3158 26.8132 1012.7931 68.6076
"193" 23.6055 16.359 23.6792 1015.9299 60.6972
"194" 26.7168 24.4612 26.4063 1014.525 69.7264
"195" 21.9451 8.9219 21.4299 1020.8965 64.2771
"196" 27.0679 33.5542 27.3583 1006.5576 68.616
"197" 25.3826 16.9456 24.6736 1013.9181 83.6222
"198" 20.3964 17.9452 18.7958 1017.0972 48.7931
"199" 21.0845 23.2799 19.6667 1017.7542 62.0556
"200" 21.2313 31.3044 18.5007 1019.091 56.7778
